Landau,Jorge Alberto,,2011-2015,3/23/1947
Larroque,Andrés,,2011-2015,1/26/1977
Larroque,Andrés,,2011-2015,1/26/1977
Ledesma,Julio Rubén,Corriente de Pensamiento Federal,2009-2013,7/9/1956
Ledesma,Julio Rubén,Unión Celeste y Blanca,2005-2009,7/9/1956
Leguizamón,María Laura,Frente para la Victoria - PJ,2007-2011,1/21/1965
Lemos,Silvia Beatriz,Unión Cívica Radical,2005-2009,2/6/1953
Lenz,María Beatriz,Frente para la Victoria - PJ,2005-2009,4/20/1968
Leverberg,Stella Maris,Frente para la Victoria - PJ,2007-2011,9/12/1962
Leverberg,Stella Maris,,2011-2015,9/12/1962
Linares,María Virginia,Generación para un Encuentro Nacional,2007-2011,3/23/1962
Linares,María Virginia,,2011-2015,3/23/1962
Llanos,Edith Olga,Frente para la Victoria - PJ,2005-2009,5/20/1960
Llanos,Ermindo Edgardo Marcelo,Frente para la Victoria - PJ,2009-2013,6/30/1968
Llera,Timoteo,Frente para la Victoria - PJ,2007-2011,8/17/1956
López,Ernesto Segundo,Frente para la Victoria - PJ,2005-2009,7/28/1949
López,Rafael Ángel,Frente para la Victoria - PJ,2007-2011,10/29/1949
López Arias,Marcelo Eduardo,Peronista,2007-2011,3/5/1947
Lorenzo Borocotó,Eduardo,Movimiento Independiente,2005-2009,
Lorges,Juan Carlos,Frente para la Victoria - PJ,2007-2011,11/4/1943
Lotto de Vecchietti,Inés Beatriz,,2011-2015,1/1/1953
Lozano,Claudio Raúl,Movimiento Proyecto Sur,2007-2011,10/18/1956
Lozano,Claudio Raúl,,2011-2015,10/18/1956
Luna de Marcos,Ana Zulema,Frente Cívico por Santiago,2007-2011,4/15/1945
Lusquiños,Luis Bernardo,Frente Just. Unión y Libertad,2005-2009,11/27/1951
Macaluse,Eduardo Gabriel,Solidaridad e Igualdad por la Unidad Popular,2007-2011,3/17/1959
Majdalani,Silvia Cristina,Propuesta Republicana,2009-2013,11/2/1958
Maldonado,Víctor Hugo,Unión Cívica Radical,2011-2015,8/15/1963
Mansur,Ricardo Alfredo,Unión Cívica Radical,2009-2013,10/30/1951
Marconato,Gustavo Ángel,Frente para la Victoria - PJ,2007-2011,1/10/1964
Marino,Adriana del Carmen,Frente Producción y Trabajo,2005-2009,10/29/1952
Martiarena,Mario Humberto,Peronismo Jujeño,2007-2011,12/11/1941
Martín,María Elena,Partido Socialista,2005-2009,2/27/1954
Martínez,Soledad,Propuesta Republicana,2009-2013,9/14/1982
Martínez,Julio César,Unión Cívica Radical,2009-2013,3/23/1962
Martínez,Oscar Ariel,,2011-2015,12/6/1968
Martínez Carignano,Ernesto Félix,Frente Cívico - Córdoba,2009-2013,6/21/1956
Martínez Garbino,Emilio Raúl,Concertación Entrerriana,2005-2009,7/26/1948
Martínez Oddone,Heriberto Agustín,Unión Cívica Radical,2007-2011,6/25/1957
Massei,Oscar Ermelindo,Frente para la Victoria - PJ,2005-2009,9/27/1945
Mazzarella,Susana del Valle,Frente Cívico - Córdoba,2009-2013,5/20/1952
Mendoza,Sandra Marcela,Frente para la Victoria - PJ,2009-2013,4/20/1963
Mendoza,Mayra Soledad,,2011-2015,11/26/1983
Mera,Dalmacio Enrique,Frente para la Victoria - PJ,2009-2013,
Merchán,Paula Cecilia,Libres Del Sur,2007-2011,2/24/1970
Merlo,Mario Raúl,Peronismo Federal,2007-2011,8/13/1949
Metaza,Mario Alfredo,,2011-2015,11/4/1958
Michetti,Marta Gabriela,Propuesta Republicana,2009-2013,5/28/1965
Milman,Gerardo Fabián,Generación para un Encuentro Nacional,2009-2013,9/21/1966
Mirkin,Beatriz Graciela,,2011-2015,8/9/1955
Moisés,María Carolina,Frente para la Victoria - PJ,2005-2009,3/5/1975
Molas,Pedro Omar,Unión Cívica Radical,2009-2013,12/6/1958
Molina,Manuel Isauro,,2011-2015,
Mongelo,José Ricardo,,2011-2015,1/25/1969
Montoya,Jorge Luciano,Peronista,2007-2011,12/29/1949
Morales,Gerardo Rubén,,2011-2015,7/18/1959
Morán,Juan Carlos,Coalición Cívica - Ari,2007-2011,9/9/1970
Morandini,Norma Elena,Memoria y Democracia,2005-2009,3/31/1948
Morante,Antonio Arnaldo María,Frente para la Victoria - PJ,2007-2011,10/22/1962
Morejón,Manuel Amor,Peronista,2007-2011,9/25/1947
Moreno,Carlos Julio,Frente para la Victoria - PJ,2005-2009,9/3/1947
Moreno,Carlos Julio,Frente para la Victoria - PJ,2009-2013,9/3/1947
Morgado,Claudio Marcelo,Frente para la Victoria - PJ,2005-2009,8/13/1959
Morini,Pedro Juan,Unión Cívica Radical,2005-2009,6/28/1956
Mouillerón,Roberto Mario,Peronismo Federal,2009-2013,3/9/1944
Moyano,Juan Facundo,,2011-2015,12/25/1984
Müller,Mabel Hilda,Frente para la Victoria - PJ,2005-2009,2/25/1945
Müller,Mabel Hilda,,2011-2015,2/25/1945
Müller,Edgar Raúl,,2011-2015,1/26/1947
Naím,Lidia Lucía,Afirmación para una República Igualitaria,2005-2009,2/19/1944
Navarro,Graciela,,2011-2015,
Navarro,Graciela,,2011-2015,
Nebreda,Carmen Rosa,Frente para la Victoria - PJ,2009-2013,
Nieva,Alejandro Mario,Unión Cívica Radical,2005-2009,4/5/1958
Obeid,Jorge Alberto,Peronismo Federal,2007-2011,11/24/1947
Obiglio,Julián Martín,Propuesta Republicana,2005-2009,5/21/1976
Obiglio,Julián Martín,,2009-2013,5/21/1976
Ocaña,María Graciela,,2011-2015,9/16/1960
Oliva,Cristian Rodolfo,Frente Cívico por Santiago,2005-2009,4/25/1968
Oliva,Cristian Rodolfo,Frente Cívico por Santiago,2009-2013,4/25/1968
Olmedo,Alfredo Horacio,Salta Somos Todos,2009-2013,12/5/1965
Oporto,Mario Néstor,,2011-2015,9/28/1952
Orsolini,Pablo Eduardo,Unión Cívica Radical,2009-2013,2/23/1955
Ortiz,Mariela del Valle,,2011-2015,
Ortiz Correa,Marcia Sara María,,2011-2015,
Osorio,Marta Lucía,Frente para la Victoria - PJ,2005-2009,10/1/1940
Pais,Juan Mario,Frente para la Victoria - PJ,2007-2011,11/7/1955
Pais,Juan Mario,,2011-2015,11/7/1955
Pansa,Sergio Horacio,Peronismo Federal,2009-2013,3/10/1966
Parada,Liliana Beatriz,Movimiento Proyecto Sur,2009-2013,1/11/1956
Paredes Urquiza,Alberto Nicolás,Frente para la Victoria - PJ,2007-2011,4/22/1966
Paroli,Raúl Omar,Frente Cívico y Social de Catamarca,2007-2011,1/20/1958
Pasini,Ariel Osvaldo Eloy,Frente para la Victoria - PJ,2007-2011,2/14/1972
Pastoriza,Mirta Ameliana,Frente Cívico por Santiago,2007-2011,5/7/1937
Pastoriza,Eduardo Antonio,Por la Verdad,2005-2009,11/9/1947
Pastoriza,Mirta Ameliana,,2011-2015,5/7/1937
Peralta,Fabián Francisco,Generación para un Encuentro Nacional,2007-2011,5/30/1966
Peralta,Fabián Francisco,,2011-2015,5/30/1966
